"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.998446150E-1,8.490264416E-1,4.254422188E-1,-2.076368332E-1,9.720905485E-1
6.095263080E-1,8.548365235E-1,3.475213051E-1,-1.658768654E-1,9.375668904E-1
6.195301540E-1,8.541885614E-1,3.516020775E-1,-1.690945625E-1,9.390713980E-1
6.295286150E-1,6.641714573E-1,4.178061485E-1,-5.778517723E-1,9.744733825E-1
6.406356150E-1,3.477282524E-1,4.615821838E-1,-6.951713562E-1,9.040112081E-1
6.505884620E-1,3.542187810E-1,4.615054131E-1,-6.948595047E-1,9.062493710E-1
6.595538460E-1,5.365778208E-1,5.303158760E-1,-9.892802238E-1,1.244116573E0
6.695189230E-1,5.401969552E-1,5.325942039E-1,-9.909152985E-1,1.247951307E0
6.796581540E-1,7.506208420E-1,4.777941704E-1,-5.319581032E-1,1.036676585E0
6.899426150E-1,8.255228996E-1,3.647532463E-1,-1.440634727E-1,9.139405192E-1
6.995846150E-1,8.227406144E-1,3.789606094E-1,-1.552109718E-1,9.190232358E-1
7.096298460E-1,7.980396748E-1,4.653201103E-1,-4.351119995E-1,1.021132988E0
7.195221540E-1,7.987747192E-1,4.755754471E-1,-4.429988861E-1,1.029786906E0
7.305113850E-1,7.585246563E-1,5.524940491E-1,-7.747588158E-1,1.216906139E0
7.402440770E-1,7.607477903E-1,5.573353767E-1,-7.783908844E-1,1.222805091E0
7.495370000E-1,1.014379978E0,4.492878914E-1,-9.988551140E-1,1.492828821E0
7.595293850E-1,5.788216591E-1,3.690271378E-1,-2.123289108E-1,7.185395659E-1
7.705353080E-1,5.849696398E-1,3.796582222E-1,-2.201976776E-1,7.313117409E-1
7.801180000E-1,9.500809908E-1,3.577990532E-1,-4.041900635E-1,1.092723048E0
7.895445380E-1,9.558578730E-1,3.693594933E-1,-4.127225876E-1,1.104731027E0
7.997310770E-1,1.101921797E0,3.571681976E-1,-5.957303047E-1,1.302572594E0
8.104518460E-1,7.975988388E-1,4.694128036E-1,-4.048399925E-1,1.010152319E0
8.207322310E-1,6.681893468E-1,4.785051346E-1,-4.114894867E-1,9.191124875E-1
8.301760770E-1,1.147613883E0,5.152215958E-1,-8.481831551E-1,1.517196619E0
8.395283850E-1,1.153189182E0,5.215730667E-1,-8.526997566E-1,1.526099810E0
8.496459230E-1,1.088361263E0,5.153007507E-1,-6.903657913E-1,1.388045399E0
8.624416920E-1,7.796610594E-1,5.984086990E-1,-2.661499977E-1,1.018233843E0
8.695318460E-1,7.939307690E-1,6.086139679E-1,-2.730712891E-1,1.036969120E0
8.795481540E-1,8.081493378E-1,6.187934875E-1,-2.799305916E-1,1.055638133E0
8.895401540E-1,1.003769279E0,7.371039391E-1,-6.274981499E-1,1.394499519E0
8.995638460E-1,9.721691608E-1,7.047042847E-1,-4.262614250E-1,1.274134926E0
9.095732310E-1,9.840421677E-1,7.127332687E-1,-4.315452576E-1,1.289402578E0
9.195399230E-1,1.120462656E0,7.946925163E-1,-3.567185402E-1,1.419232495E0
9.295264620E-1,1.134766102E0,8.031435013E-1,-3.621110916E-1,1.436613390E0
9.397054620E-1,8.901553154E-1,1.007669926E0,-4.076585770E-1,1.404977110E0
9.497030770E-1,7.456176877E-1,1.151579380E0,-2.576441765E-1,1.395872962E0
9.595323850E-1,7.621352077E-1,1.159407139E0,-2.623157501E-1,1.412049766E0
9.695173850E-1,7.700605392E-1,1.167020798E0,4.244375229E-2,1.398832459E0
9.795933850E-1,7.852748632E-1,1.177087784E0,3.614234924E-2,1.415449939E0
9.896992310E-1,8.106424809E-1,1.219139099E0,4.250402451E-1,1.524500110E0
9.995274620E-1,8.229772449E-1,1.230834961E0,4.174427986E-1,1.538344804E0
1.009558308E0,7.010159492E-1,1.355637550E0,1.056365013E0,1.856093632E0
1.019517154E0,6.725976467E-1,1.480678082E0,1.445115566E0,2.175581342E0
1.029525615E0,6.854076385E-1,1.488283634E0,1.440610886E0,2.181772566E0
1.040153615E0,6.081466675E-1,1.602757931E0,1.204171658E0,2.094923563E0
1.049531615E0,6.223255992E-1,1.603244305E0,1.204937458E0,2.099894219E0
1.060695769E0,5.231223106E-1,1.756005764E0,1.053936481E0,2.113763303E0
1.069602385E0,4.970027208E-1,1.469485283E0,1.203367233E0,1.963285868E0
1.080338077E0,5.058245063E-1,1.474072933E0,1.200810432E0,1.967408229E0
1.089518154E0,2.911692858E-2,1.052367687E0,2.202105045E0,2.440817932E0
1.099553231E0,3.147625923E-2,1.070802689E0,2.189141750E0,2.437201419E0
1.109618308E0,-2.766518593E-1,5.925450325E-1,2.742940426E0,2.819817024E0
1.119535692E0,-2.794460654E-1,6.216235161E-1,2.722208023E0,2.806229217E0
1.129598923E0,-6.481279731E-1,3.066945076E-1,2.359606743E0,2.466145854E0
