"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.900240000E-1,-2.398123145E-1,1.713390350E-1,1.046390533E-1,3.127560433E-1
6.000159230E-1,-2.365971208E-1,1.719741821E-1,1.042976379E-1,3.105339179E-1
6.099988460E-1,-2.176238000E-1,2.314648628E-1,3.403759003E-2,3.195225479E-1
6.199795380E-1,-2.148962617E-1,2.319374084E-1,3.378582001E-2,3.179887519E-1
6.308308460E-1,-3.381566703E-2,2.293324471E-1,-7.142639160E-2,2.425666919E-1
6.400202310E-1,-3.176149726E-2,2.147698402E-1,-1.366424561E-2,2.175352583E-1
6.499853070E-1,-3.229942173E-2,2.168278694E-1,-1.479721069E-2,2.197192186E-1
6.611373070E-1,-6.729397178E-2,2.502932549E-1,6.729316711E-2,2.677752087E-1
6.745710000E-1,-2.604221106E-1,1.560435295E-1,2.112283707E-1,3.698468377E-1
6.799798460E-1,-2.675772011E-1,1.634984016E-1,2.071266174E-1,3.758067609E-1
6.899745380E-1,-2.734600306E-1,1.641511917E-2,-4.051198959E-1,4.890521184E-1
6.999969230E-1,-3.973115683E-1,-9.515094757E-2,-4.080934525E-1,5.774516872E-1
7.100452310E-1,4.719193280E-1,6.811022758E-1,9.020395279E-1,1.224860593E0
7.200086920E-1,4.627398551E-1,6.847677231E-1,9.000492096E-1,1.221934363E0
7.299885380E-1,-9.836429358E-2,1.499214172E-1,1.788139343E-2,1.801990839E-1
7.399816150E-1,-9.688945115E-2,1.504859924E-1,1.757240295E-2,1.798398983E-1
7.499986920E-1,1.379144639E-1,6.514263153E-1,-5.302257538E-1,8.511850525E-1
7.623064610E-1,-2.963448465E-1,5.224099159E-1,-5.053977966E-1,7.849581652E-1
7.702310000E-1,-2.851282954E-1,5.200219154E-1,-5.040750504E-1,7.783396391E-1
7.799780000E-1,-2.626964152E-1,6.276187897E-1,6.607151031E-2,6.835789612E-1
7.902386150E-1,-2.569199204E-1,6.352958679E-1,6.190872192E-2,6.880707632E-1
8.001906920E-1,-5.475542694E-2,5.818119049E-1,6.456661224E-1,8.708547474E-1
8.100109230E-1,-5.164111406E-2,5.964975357E-1,6.377277374E-1,8.747415515E-1
8.200340000E-1,-1.333234161E-1,6.514887810E-1,8.211975098E-1,1.056682599E0
8.308613070E-1,-4.180683196E-1,6.955323219E-1,2.896738052E-1,8.616595871E-1
8.401113070E-1,-4.122616053E-1,7.031846046E-1,2.856092453E-1,8.637134133E-1
8.499833840E-1,-3.875719905E-1,8.218588829E-1,-2.333259583E-1,9.381391549E-1
8.599952310E-1,-3.832046688E-1,8.232817650E-1,-2.340555191E-1,9.377743165E-1
8.699986920E-1,-1.351455599E-2,8.120293617E-1,-4.084348679E-1,9.090618069E-1
8.799943840E-1,-2.467833459E-2,7.204709053E-1,-2.311840057E-1,7.570557378E-1
8.902684610E-1,-2.082928270E-2,7.247934341E-1,-2.334594727E-1,7.617497664E-1
8.999876920E-1,-2.871414423E-1,6.918525696E-1,-1.611061096E-1,7.662019084E-1
9.099830000E-1,-2.813860774E-1,6.961345673E-1,-1.633319855E-1,7.684131687E-1
9.199791540E-1,5.914162099E-2,6.991562843E-1,-1.448945999E-1,7.164577352E-1
9.317709230E-1,3.064305186E-1,7.899427414E-1,-5.592775345E-1,1.015234238E0
9.400972310E-1,3.101160824E-1,7.874813080E-1,-5.579290390E-1,1.013697986E0
9.502716150E-1,1.502772421E-1,9.112644196E-1,-1.050171852E0,1.398516003E0
9.599931540E-1,1.560966074E-1,9.040493965E-1,-1.046257973E0,1.391519747E0
9.699836920E-1,-1.782588661E-1,1.082744122E0,-1.663726807E0,1.993012279E0
9.799833840E-1,-1.704976857E-1,1.074712276E0,-1.659323692E0,1.984296110E0
9.900063840E-1,-5.583620071E-2,1.052886009E0,-1.401625156E0,1.753921238E0
9.999743070E-1,-4.820665717E-2,1.051319122E0,-1.400668621E0,1.751989830E0
1.009979923E0,4.083388299E-2,9.111971855E-1,-6.068668365E-1,1.095552406E0
1.020772384E0,-4.557636380E-2,8.512134552E-1,-2.036437988E-1,8.764201892E-1
1.029993000E0,-3.964990377E-2,8.648090363E-1,-2.107830048E-1,8.910085629E-1
1.040544538E0,-1.112008393E-1,7.948765755E-1,-2.910699844E-1,8.537658536E-1
1.050039846E0,-1.030036211E-1,8.075513840E-1,-2.976188660E-1,8.667906166E-1
1.060845692E0,-1.664795280E-1,7.435250282E-1,-6.566553116E-1,1.005853418E0
1.070160461E0,-4.786661863E-1,8.057088852E-1,-1.035681725E0,1.396755082E0
1.079982231E0,-4.672137499E-1,8.096904755E-1,-1.037518501E0,1.396542872E0
1.089987923E0,-3.080650568E-1,7.961215973E-1,-7.085814476E-1,1.109414866E0
1.099995154E0,-3.014941216E-1,8.036174774E-1,-7.123484612E-1,1.115410277E0
1.110067923E0,-1.961168647E-2,7.435665131E-1,-1.714544296E-1,7.633298101E-1
1.119990692E0,-1.759028435E-2,7.549748421E-1,-1.773509979E-1,7.757253423E-1
1.129990307E0,1.379478574E-1,7.281427383E-1,-2.006092072E-1,7.677665744E-1
1.140490154E0,6.767168641E-2,7.977404594E-1,-5.559396744E-1,9.746990404E-1
1.149998384E0,6.843386590E-2,7.961816788E-1,-5.551109314E-1,9.730039084E-1
1.160094384E0,1.273812950E-1,8.776488304E-1,-6.491985321E-1,1.099068787E0
1.170242307E0,1.323226392E-1,8.721537590E-1,-6.462106705E-1,1.093503402E0
1.180114846E0,1.111512482E-1,8.666696548E-1,-2.871952057E-1,9.197564769E-1
1.190005923E0,1.177784204E-1,8.608117104E-1,-2.839546204E-1,9.140562255E-1
1.199984538E0,2.736531198E-2,7.765254974E-1,1.594896317E-1,7.932071930E-1
1.210116923E0,2.170704305E-2,7.173328400E-1,1.343345642E-1,7.301255879E-1
1.220196923E0,2.466903627E-2,7.092928886E-1,1.386394501E-1,7.231361285E-1
1.229993923E0,1.530536413E-1,6.393494606E-1,1.478786469E-1,6.738406667E-1
1.240010923E0,1.514556110E-1,6.283783913E-1,1.536178589E-1,6.643768895E-1
1.250079307E0,7.931082845E-1,6.710677147E-1,1.373567581E-1,1.047959688E0
1.259999384E0,9.945614934E-1,7.486429214E-1,-6.843228340E-1,1.420533889E0
1.269978846E0,9.817842245E-1,7.337222099E-1,-6.767230034E-1,1.400072344E0
1.280046154E0,3.548544943E-1,6.217341423E-1,-8.689861298E-1,1.125882742E0
1.290000615E0,3.498389721E-1,6.112422943E-1,-8.634853363E-1,1.114276166E0
1.299981538E0,-2.701304853E-2,3.220949173E-1,4.851341248E-1,5.829493628E-1
1.309977307E0,-2.284856141E-2,3.277978897E-1,4.821777344E-1,5.834971129E-1
1.320049923E0,1.929545999E-1,1.074442863E-1,1.613663673E0,1.628706911E0
1.330126769E0,2.525343299E-1,1.079578400E-1,1.332271576E0,1.360285277E0
1.340032692E0,2.430486381E-1,1.234602928E-1,1.323830605E0,1.351607396E0
1.350016846E0,3.343840837E-1,3.214983940E-1,-3.236303329E-1,5.656063341E-1
1.360000154E0,3.205246925E-1,3.210978508E-1,-3.237228394E-1,5.573476339E-1
1.370136231E0,2.521650195E-1,3.320126534E-1,-6.962685585E-1,8.115475985E-1
1.379980692E0,2.475625873E-1,3.269486427E-1,-6.936850548E-1,8.058421712E-1
1.389985384E0,4.653771222E-1,2.812213898E-1,8.602142334E-3,5.438155319E-1
1.400722692E0,8.804054856E-1,2.521281242E-1,3.605213165E-1,9.842042622E-1
1.409978307E0,8.764836192E-1,2.632274628E-1,3.545989990E-1,9.814543708E-1
1.419994231E0,1.100751877E0,2.718553543E-1,4.763669968E-1,1.229831510E0
1.429989000E0,1.092031479E0,2.842183113E-1,4.697427750E-1,1.222281095E0
1.440003615E0,1.265908957E0,3.690228462E-1,1.689958572E-1,1.329384424E0
1.449999769E0,1.169302583E0,4.858374596E-1,-4.471673965E-1,1.342857121E0
1.460048692E0,1.163953185E0,4.876203537E-1,-4.481754303E-1,1.339187008E0
